,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
318,2020-02-06 18:54:00,12.6 °C,56.3 %RH,4.1 °C
319,2020-02-06 19:09:00,12.6 °C,56.3 %RH,4.1 °C
320,2020-02-06 19:24:00,12.6 °C,56.3 %RH,4.1 °C
321,2020-02-06 19:39:00,12.3 °C,56.3 %RH,3.8 °C
322,2020-02-06 19:54:00,12.6 °C,56.3 %RH,4.1 °C
323,2020-02-06 20:09:00,12.3 °C,56.3 %RH,3.8 °C
324,2020-02-06 20:24:00,12.3 °C,56.7 %RH,3.9 °C
325,2020-02-06 20:39:00,12.3 °C,56.7 %RH,3.9 °C
326,2020-02-06 20:54:00,12.3 °C,56.7 %RH,3.9 °C
327,2020-02-06 21:09:00,12.3 °C,56.7 %RH,3.9 °C
328,2020-02-06 21:24:00,12.3 °C,56.7 %RH,3.9 °C
329,2020-02-06 21:39:00,12.3 °C,56.7 %RH,3.9 °C
330,2020-02-06 21:54:00,12.3 °C,56.7 %RH,3.9 °C
331,2020-02-06 22:09:00,12.3 °C,56.7 %RH,3.9 °C
332,2020-02-06 22:24:00,12.3 °C,56.7 %RH,3.9 °C
333,2020-02-06 22:39:00,12.3 °C,56.7 %RH,3.9 °C
334,2020-02-06 22:54:00,12.3 °C,56.7 %RH,3.9 °C
335,2020-02-06 23:09:00,12.3 °C,56.7 %RH,3.9 °C
336,2020-02-06 23:24:00,12.3 °C,56.7 %RH,3.9 °C
337,2020-02-06 23:39:00,12.3 °C,56.7 %RH,3.9 °C
338,2020-02-06 23:54:00,12.0 °C,56.7 %RH,3.7 °C
339,2020-02-07 00:09:00,12.0 °C,56.7 %RH,3.7 °C
340,2020-02-07 00:24:00,12.0 °C,56.7 %RH,3.7 °C
341,2020-02-07 00:39:00,12.0 °C,56.7 %RH,3.7 °C
342,2020-02-07 00:54:00,12.0 °C,56.7 %RH,3.7 °C
343,2020-02-07 01:09:00,12.0 °C,56.7 %RH,3.7 °C
344,2020-02-07 01:24:00,12.0 °C,56.7 %RH,3.7 °C
345,2020-02-07 01:39:00,12.0 °C,56.7 %RH,3.7 °C
346,2020-02-07 01:54:00,12.0 °C,56.7 %RH,3.7 °C
